MP, MT, MS, Oczekiwana, a, b, BMP, BMT, BMS
380.1326983572274, 380.1326983572245, 380.13270611410076, 380.1327110843649, 11.0, 11.0, 1.2727137516321818E-5, 1.272714041533618E-5, 4.970264171788585E-6
138.2300721299013, 138.23007212990046, 138.23007495058093, 138.23007675795088, 11.0, 4.0, 4.628049595112316E-6, 4.628050419341889E-6, 1.8073699550313904E-6
175.92918271078324, 175.9291827107824, 175.92918630073945, 175.92918860102841, 14.0, 4.0, 5.890245176942699E-6, 5.890246001172272E-6, 2.300288969081521E-6
285.884921905019, 285.8849219050188, 285.88492773870365, 285.8849314766712, 13.0, 7.0, 9.571652242357231E-6, 9.571652412887488E-6, 3.7379675745796703E-6
131.94688703308736, 131.94688703308728, 131.9468897255573, 131.94689145077132, 14.0, 3.0, 4.417683953761298E-6, 4.417684039026426E-6, 1.7252140196433174E-6
414.69021638969787, 414.69021638969946, 414.6902248517463, 414.6902302738527, 12.0, 11.0, 1.3884154839161056E-5, 1.3884153247545328E-5, 5.42210642606733E-6
25.132740387254756, 25.13274038725463, 25.132740900105627, 25.132741228718345, 2.0, 4.0, 8.414635885856114E-7, 8.414637164833039E-7, 3.286127174817466E-7
282.7433293566151, 282.74332935661556, 282.7433351261942, 282.74333882308133, 15.0, 6.0, 9.466466224239412E-6, 9.46646576949206E-6, 3.6968871199860587E-6
226.19466348529295, 226.1946634852924, 226.1946681009554, 226.1946710584651, 6.0, 12.0, 7.573172155161956E-6, 7.573172695174435E-6, 2.9575097073575307E-6
367.5663281635905, 367.56632816359524, 367.5663356640468, 367.5663404700058, 13.0, 9.0, 1.2306415271723381E-5, 1.2306410553719616E-5, 4.805959008535865E-6
276.4601442598026, 276.4601442598009, 276.46014990116186, 276.46015351590177, 11.0, 8.0, 9.256099190224631E-6, 9.256100838683778E-6, 3.614739910062781E-6
263.89377406617473, 263.89377406617456, 263.8937794511146, 263.89378290154264, 14.0, 6.0, 8.835367907522595E-6, 8.835368078052852E-6, 3.450428039286635E-6
326.72562503430674, 326.725625034311, 326.72563170137715, 326.7256359733385, 8.0, 13.0, 1.0939031767520646E-5, 1.0939027504264232E-5, 4.271961358881526E-6
62.831850968136706, 62.831850968137616, 62.831852250265264, 62.83185307179586, 4.0, 5.0, 2.10365915620514E-6, 2.103658246710438E-6, 8.215305982162135E-7
47.123888226102025, 47.12388822610259, 47.123889187699035, 47.12388980384689, 5.0, 3.0, 1.5777448680864836E-6, 1.577744299652295E-6, 6.161478580679614E-7
1.9999999998354978, 1.9999999998354792, 1.99999999999998, 2, 0, 0, 1.645021896479193E-10, 1.64520841394733E-10, 1.9984014443252818E-14
6.2701434947194095, 6.270143494719466, 6.2719402902008365, 6.283185307179586, 0, 0, 0.013041812460176772, 0.013041812460119928, 0.011245016978749689
38.680223455477865, 38.680223455477275, 38.6903191119883, 38.75379286452034, 8.0, 4.0, 0.07356940904247722, 0.07356940904306697, 0.06347375253204035
37.86928768780232, 37.86928768780225, 37.88194693150189, 37.961368934748876, 7.0, 5.0, 0.09208124694655595, 0.092081246946627, 0.07942200324698234
41.98354215725197, 41.9835421572516, 41.988511331628885, 42.02005330311869, 10.0, 2.0, 0.036511145866718664, 0.036511145867088146, 0.03154197148980131
30.465125105823837, 30.46512510582379, 30.47013346293352, 30.50178748301344, 7.0, 2.0, 0.036662377189603745, 0.03666237718964993, 0.031654020079919576
22.97636764564881, 22.976367645648914, 22.981402284806443, 23.013112450392704, 5.0, 2.0, 0.03674480474389341, 0.03674480474379038, 0.031710165586261496
32.726801088284155, 32.72680108828343, 32.72924692520677, 32.744765984936706, 8.0, 1.0, 0.01796489665255052, 0.017964896653275275, 0.015519059729932394
18.794259324825664, 18.794259324825717, 18.8018707787327, 18.84955592153876, 3.0, 3.0, 0.05529659671309517, 0.05529659671304188, 0.047685142806059844
36.669701321799785, 36.66970132179982, 36.67213437004969, 36.687506374376824, 9.0, 1.0, 0.017805052577038794, 0.017805052577003266, 0.015372004327133482
22.97636764564881, 22.976367645648914, 22.981402284806443, 23.013112450392704, 5.0, 2.0, 0.03674480474389341, 0.03674480474379038, 0.031710165586261496
48.35027931934681, 48.35027931934648, 48.36289888998523, 48.44224108065042, 10.0, 5.0, 0.09196176130360811, 0.09196176130394207, 0.07934219066518722
40.77207682138855, 40.77207682138833, 40.78985015431028, 40.90114211604927, 6.0, 7.0, 0.1290652946607196, 0.12906529466093986, 0.11129196173899203
22.02972345712733, 22.029723457127492, 22.039885339576784, 22.10349216070766, 3.0, 4.0, 0.07376870358033116, 0.07376870358016774, 0.06360682113087535
53.305867299979404, 53.305867299979134, 53.32615124517801, 53.453285002971874, 9.0, 8.0, 0.14741770299247037, 0.14741770299274037, 0.12713375779386382
19.340111727738933, 19.340111727738638, 19.34515955599415, 19.37689643226017, 4.0, 2.0, 0.03678470452123861, 0.036784704521533484, 0.031736876266020175
34.51832288203994, 34.51832288203976, 34.533559064422725, 34.62895597904837, 5.0, 6.0, 0.11063309700843149, 0.11063309700860913, 0.09539691462564548
